transaction_id,date,branch_id,employee_id,cashier_id,product_id,quantity,unit_price,discount_applied (%),discount_value,total_without_discount,total_after_discount,tax_amount,final_total_price,loyalty_points_earned,return_or_refund,transaction_type,customer_id,payment_method,payment_breakdown
TXN00001,2023-08-19 09:01:02,BR008,EMP085,EMP085,PROD034,9,2964.82,0,0.0,26683.38,26683.38,2001.25,28684.63,2868,No,Online,CUST0100,Card,Card: 28684.63
TXN00002,2024-07-19 06:18:37,BR001,EMP096,EMP096,PROD041,6,1902.79,0,0.0,11416.74,11416.74,856.26,12273.0,1227,No,Mobile,CUST0174,Card,Card: 12273.0
TXN00003,2024-08-23 02:06:46,BR003,EMP086,EMP086,PROD006,10,4326.93,0,0.0,43269.3,43269.3,3245.2,46514.5,4651,No,Online,CUST0168,Online Payment,Online Payment: 46514.5
TXN00004,2023-05-19 02:34:22,BR002,EMP047,EMP047,PROD036,7,3649.85,25,6387.24,25548.95,19161.71,1437.13,20598.84,2059,No,Mobile,CUST0180,Online Payment,Online Payment: 20598.84
TXN00005,2025-01-16 16:00:10,BR002,EMP077,EMP077,PROD033,6,4938.26,0,0.0,29629.56,29629.56,2222.22,31851.78,3185,No,In-store,CUST0055,Card,Card: 31851.78
TXN00006,2024-02-20 15:29:12,BR004,EMP019,EMP019,PROD009,3,1961.09,0,0.0,5883.27,5883.27,441.25,6324.52,632,No,In-store,CUST0130,Online Payment,Online Payment: 6324.52
TXN00007,2024-12-25 07:46:09,BR001,EMP091,EMP091,PROD022,10,4388.48,0,0.0,43884.8,43884.8,3291.36,47176.16,4717,No,In-store,CUST0042,Cash,Cash: 47176.16
TXN00008,2024-09-28 21:02:41,BR003,EMP088,EMP088,PROD029,1,3097.48,15,464.62,3097.48,2632.86,197.46,2830.32,283,No,Mobile,CUST0061,Card,Card: 2830.32
TXN00009,2024-09-14 08:19:39,BR008,EMP026,EMP026,PROD035,4,2407.42,15,1444.45,9629.68,8185.23,613.89,8799.12,879,No,Online,CUST0050,Card,Card: 8799.12
TXN00010,2024-04-26 00:07:40,BR008,EMP085,EMP085,PROD050,5,613.4,25,766.75,3067.0,2300.25,172.52,2472.77,247,No,Online,CUST0042,Cash,Cash: 2472.77
TXN00011,2023-05-26 10:40:31,BR005,EMP035,EMP035,PROD042,8,4068.26,25,8136.52,32546.08,24409.56,1830.72,26240.28,2624,No,In-store,CUST0183,Online Payment,Online Payment: 26240.28
TXN00012,2023-09-17 08:41:58,BR002,EMP018,EMP018,PROD018,8,1826.85,0,0.0,14614.8,14614.8,1096.11,15710.91,1571,No,In-store,CUST0057,Card,Card: 15710.91
TXN00013,2025-01-30 15:59:37,BR001,EMP067,EMP067,PROD004,7,2334.17,25,4084.8,16339.19,12254.39,919.08,13173.47,1317,No,In-store,CUST0096,Cash,"Cash: 8856.92, Card: 4316.55"
TXN00014,2024-11-20 18:07:10,BR006,EMP027,EMP027,PROD009,1,1961.09,5,98.05,1961.09,1863.04,139.73,2002.77,200,No,Online,CUST0179,Cash,Cash: 2002.77
TXN00015,2024-02-07 07:35:10,BR008,EMP089,EMP089,PROD001,2,4133.39,0,0.0,8266.78,8266.78,620.01,8886.79,888,No,In-store,CUST0141,Online Payment,Online Payment: 8886.79
